C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_55_718.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_55_718.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_55_718.jpg, 0, 0, 0, 8.073838E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_55_824.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_55_824.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_55_824.jpg, 0, 0, 0, 8.072874E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_55_929.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_55_929.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_55_929.jpg, 0, 0, 0, 8.089634E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_56_031.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_56_031.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_56_031.jpg, 0, 0, 0, 8.122953E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_56_131.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_56_131.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_56_131.jpg, 0, 0, 0, 8.085652E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_56_234.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_56_234.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_56_234.jpg, 0, 0, 0, 8.09806E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_56_336.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_56_336.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_56_336.jpg, 0, 0, 0, 8.070096E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_56_435.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_56_435.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_56_435.jpg, 0, 0, 0, 8.054336E-05
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_56_537.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_56_537.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_56_537.jpg, 0, 0.2709483, 0, 0.2028301
C:\Users\KIIT\Downloads\Dataset\IMG\center_2024_10_26_23_14_56_637.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\left_2024_10_26_23_14_56_637.jpg, C:\Users\KIIT\Downloads\Dataset\IMG\right_2024_10_26_23_14_56_637.jpg, 0, 0.5712807, 0, 0.7135893
